Item Type,Publication Year,Author,Title,Publication Title,Pages,Volume,First Author Last Name,First Author First Name
journalArticle,2013,"Abbott, R; Albach, D; Ansell, S; Arntzen, J W; Baird, S J E; Bierne, N; Boughman, J; Brelsford, A; Buerkle, C A; Buggs, R; Butlin, R K; Dieckmann, U; Eroukhmanoff, F; Grill, A; Cahan, S H; Hermansen, J S; Hewitt, G; Hudson, A G; Jiggins, C; Jones, J; Keller, B; Marczewski, T; Mallet, J; Martinez-Rodriguez, P; Möst, M; Mullen, S; Nichols, R; Nolte, A W; Parisod, C; Pfennig, K; Rice, A M; Ritchie, M G; Seifert, B; Smadja, C M; Stelkens, R; Szymura, J M; Väinölä, R; Wolf, J B W; Zinner, D",Hybridization and speciation,Journal of Evolutionary Biology,229-246,26,Abbott,R
journalArticle,2004,"Abdo, Zaid; Crandall, Keith A; Joyce, Paul",Evaluating the performance of likelihood methods for detecting population structure and migration,Molecular Ecology,837-851,13,Abdo,Zaid
journalArticle,2003,"Abegg, C; Petit, O; Thierry, B",Variability in behavior frequencies and consistency in transactions across seasons in captive Japanese macaques (Macaca fuscata),Aggressive Behavior,81-93,29,Abegg,C
journalArticle,2004,"Abegunde, A",Monkey malaria in man,The Lancet,1217,364,Abegunde,A
journalArticle,2015,"Abend, Peter; Pflüger, Lena S; Koppensteiner, Markus; Coquerelle, Michael; Grammer, Karl",The sound of female shape: a redundant signal of vocal and facial attractiveness,Evolution and Human Behavior,174-181,36,Abend,Peter
journalArticle,2003,"Abizaid, A; Service, G; Woodside, B",Food restriction during lactation results in prolonged hyposensitivity to the positive-feedback effects of oestradiol,Journal of Neuroendocrinology,1037-1045,15,Abizaid,A
journalArticle,2021,"Abondano, Laura A; Ziegler, Toni E; Di Fiore, Anthony","Reproductive endocrinology of wild female woolly monkeys (<i>Lagothrix lagotricha poeppigii</i>) during puberty, ovarian cyclicity, and pregnancy",American Journal of Primatology,e23303,84,Abondano,Laura A
journalArticle,2012,"Abondano, Laura Alejandra; Link, Andres",The social behavior of brown spider monkeys (<i>Ateles hybridus</i>) in a fragmented forest in Colombia,International Journal of Primatology,769-783,33,Abondano,Laura Alejandra
journalArticle,1975,"Abordo, E J; Mittermeier, R A; Lee, J; Mason, P",Social grooming between squirrel monkeys and uakaris in a seminatural environment,Primates,217-221,16,Abordo,E J
journalArticle,1999,"Abouheif, Ehab",A method for testing the assumption of phylogenetic independence in comparative data,Evolutionary Ecology Research,895-909,1,Abouheif,Ehab
journalArticle,1993,"Abrahams, Mark",The trade-off between foraging and courting in male guppies,Animal Behaviour,673-681,45,Abrahams,Mark
journalArticle,1975,"Abrams, P",Limiting similarity and the form of the competition coefficient,Theoretical Population Biology,356-375,8,Abrams,P
journalArticle,1990,"Abramsky, Z; Rosenzweig, M; Pinshow, B; Brown, J; Kotler, B; Mitchell, W",Habitat selection: An experimental field test with two gerbil species,Ecology,2358-2369,71,Abramsky,Z
journalArticle,2019,"Abreu, Filipa; Souto, Antonio; Bonci, Daniela M O; Mantovani, Viviani; Pessoa, Daniel M A; Schiel, Nicola",Detection of insect prey by wild common marmosets: The effect of color vision,American Journal of Primatology,e22963,81,Abreu,Filipa
journalArticle,2019,"Abreu, Filipe Vieira Santos de; Santos, Edmilson dos; Mello, Aline Rosa Lavigne; Gomes, Larissa Rodrigues; Alvarenga, Denise Anete Madureira de; Gomes, Marcelo Quintela; Vargas, Waldemir Paixão; Bianco-Júnior, Cesare; Pina-Costa, Anielle de; Teixeira, Danilo Simonini; Romano, Alessandro Pecego Martins; Manso, Pedro Paulo de Abreu; Pelajo-Machado, Marcelo; Brasil, Patrícia; Daniel-Ribeiro, Cláudio Tadeu; Brito, Cristiana Ferreira Alves de; Ferreira-da-Cruz, Maria de Fátima; Lourenço-de-Oliveira, Ricardo",Howler monkeys are the reservoir of malarial parasites causing zoonotic infections in the Atlantic forest of Rio de Janeiro,PLOS Neglected Tropical Diseases,e0007906,13,Abreu,Filipe Vieira Santos de
journalArticle,2019,"Abreu, Filipe Vieira Santos; dos Santos, Edmilson; Gomes, Marcelo Quintela; Vargas, Waldemir Paixão; Oliveira Passos, Pedro Henrique; Nunes e Silva, Charles; Araújo, Pollyanna Cardoso; Pires, Jeferson Rocha; Romano, Alessandro Pecego Martins; Teixeira, Danilo Simonini; Lourenço‐de‐Oliveira, Ricardo",Capture of <i>Alouatta guariba clamitans</i> for the surveillance of sylvatic yellow fever and zoonotic malaria: Which is the best strategy in the tropical Atlantic Forest?,American Journal of Primatology,e23000,,Abreu,Filipe Vieira Santos
journalArticle,1979,"Abruzzi, W",Population pressure and subsistence strategies among the Mbuti pygmies,Human Ecology,183-189,7,Abruzzi,W
journalArticle,2013,"Acardi, SA; Rago, MV; Liotta, DJ; Fernandez-Duque, E; Salomón, OD","Leishmania (Viannia) DNA detection by PCR-RFLP and sequencing in free-ranging owl monkeys (Aotus azarai azarai) from Formosa, Argentina",Veterinary Parasitology,256-259,193,Acardi,SA
journalArticle,2009,"Acerbi, Alberto; Enquist, Magnus; Ghirlanda, Stefano",Cultural evolution and individual development of openness and conservatism.,Proceedings of the National Academy of Sciences USA,18931-18935,106,Acerbi,Alberto
bookSection,2021,"Acevedo-Garcés, Y A; Valencia, L M; Di Fiore, A; Acevedo-Cendales, L D; Rojas, W; Bock, B; Ospina, O; Álvarez, J; Soto-Calderón, I D",Current and historical genetic structure of the white-footed tamarin (<i>Saguinus leucopus</i>),Molecular Ecology and Conservation Genetics of Neotropical Mammals,171-197,,Acevedo-Garcés,Y A
journalArticle,2012,"Acevedo, B P; Aron, A; Fisher, H E; Brown, L L",Neural correlates of long-term intense romantic love,Social Cognitive and Affective Neuroscience,145-159,7,Acevedo,B P
journalArticle,2012,"Acevedo, B P; Aron, A; Fisher, H E; Brown, L L","Neural correlates of marital satisfaction and well-being: Reward, empathy, and affect",Clinical Neuropsychiatry,20-31,9,Acevedo,B P
journalArticle,2019,"Acevedo, Bianca P; Poulin, Michael J; Geher, Glenn; Grafton, Scott; Brown, Lucy L",The neural and genetic correlates of satisfying sexual activity in heterosexual pair‐bonds,Brain and Behavior,e01289,,Acevedo,Bianca P
journalArticle,2002,"Achard, Frédéric; Eva, Hugh D; Stibig, Hans-Jürgen; Mayaux, Philippe; Gallego, Javier; Richards, Timothy; Malingreau, Jean-Paul",Determination of deforestation rates of the world's humid tropical forests,Science,999-1002,297,Achard,Frédéric
bookSection,2023,"Acharya-Patel, Neha; Allison, Michael J; Helbing, Caren C",Environmental DNA: Revolutionizing ecological assessments with genomics,Genomics and the Global Bioeconomy,103-124,,Acharya-Patel,Neha
journalArticle,2006,"Acharya, Krishna Prasad",Linking trees on farms with biodiversity conservation in subsistence farming systems in Nepal,Biodiversity and Conservation,631-646,15,Acharya,Krishna Prasad
journalArticle,2009,"Achaz, Guillaume",Frequency Spectrum Neutrality Tests: One for All and All for One,Genetics,249-258,183,Achaz,Guillaume
journalArticle,2023,"Achorn, Angela; Lindshield, Stacy; Ndiaye, Papa Ibnou; Winking, Jeffrey; Pruetz, Jill D","Reciprocity and beyond: Explaining meat transfers in savanna‐dwelling chimpanzees at Fongoli, Senegal",American Journal of Biological Anthropology,224-236,182,Achorn,Angela
journalArticle,2000,"Ackerly, DD","Taxon sampling, correlated evolution, and independent contrasts",Evolution,1480-1492,54,Ackerly,DD
journalArticle,2007,"Ackerman, Joshua M; Kenrick, Douglas T; Schaller, Mark",Is friendship akin to kinship?,Evolution and Human Behavior,365-374,28,Ackerman,Joshua M
journalArticle,2017,"Ackerman, Matthew S; Johri, Parul; Spitze, Ken; Xu, Sen; Doak, Thomas G; Young, Kimberly; Lynch, Michael",Estimating seven coefficients of pairwise relatedness using population-genomic data,Genetics,105-118,206,Ackerman,Matthew S
journalArticle,2022,"Ackermann, Rebecca R",On the science and scientists behind our origin narrative: A review of Higham (2021),American Journal of Biological Anthropology,ajpa.24530,,Ackermann,Rebecca R
journalArticle,2019,"Ackermann, Rebecca R; Arnold, Michael L; Baiz, Marcella D; Cahill, James A; Cortés‐Ortiz, Liliana; Evans, Ben J; Grant, B Rosemary; Grant, Peter R; Hallgrimsson, Benedikt; Humphreys, Robyn A; Jolly, Clifford J; Malukiewicz, Joanna; Percival, Christopher J; Ritzman, Terrence B; Roos, Christian; Roseman, Charles C; Schroeder, Lauren; Smith, Fred H; Warren, Kerryn A; Wayne, Robert K; Zinner, Dietmar",Hybridization in human evolution: Insights from other organisms,"Evolutionary Anthropology: Issues, News, and Reviews",189-209,28,Ackermann,Rebecca R
bookSection,2003,"Acrenaz, Marc","Handling, anaesthesia, health evaluation and biological sampling",Field and Laboratory Methods in Primatology: A Practical Guide,122-139,,Acrenaz,Marc
journalArticle,2010,"Acurio, A; Rafael, V; Dangles, O","Biological invasions in the Amazonian tropical rain forest: The case of Drosophilidae (Insecta, Diptera) in Ecuador, South America",Biotropica,717-723,42,Acurio,A
journalArticle,2018,"Adamescu, Gabriela S; Plumptre, Andrew J; Abernethy, Katharine A; Polansky, Leo; Bush, Emma R; Chapman, Colin A; Shoo, Luke P; Fayolle, Adeline; Janmaat, Karline R L; Robbins, Martha M; Ndangalasi, Henry J; Cordeiro, Norbert J; Gilby, Ian C; Wittig, Roman M; Breuer, Thomas; Hockemba, Mireille Breuer-Ndoundou; Sanz, Crickette M; Morgan, David B; Pusey, Anne E; Mugerwa, Badru; Gilagiza, Baraka; Tutin, Caroline; Ewango, Corneille E N; Sheil, Douglas; Dimoto, Edmond; Baya, Fidèle; Bujo, Flort; Ssali, Fredrick; Dikangadissi, Jean-Thoussaint; Jeffery, Kathryn; Valenta, Kim; White, Lee; Masozera, Michel; Wilson, Michael L; Bitariho, Robert; Ndolo Ebika, Sydney T; Gourlet-Fleury, Sylvie; Mulindahabi, Felix; Beale, Colin M",Annual cycles are the most common reproductive strategy in African tropical tree communities,Biotropica,418-430,50,Adamescu,Gabriela S
journalArticle,2009,"Adams, Bradley J; Herrmann, Nicholas P",Estimation of living stature from selected anthropometric (soft tissue) measurements: Applications for forensic anthropology,Journal of Forensic Sciences,753-760,54,Adams,Bradley J
journalArticle,2018,"Adams, Dara B; Kitchen, Dawn M",Experimental evidence that titi and saki monkey alarm calls deter an ambush predator,Animal Behaviour,141-147,145,Adams,Dara B
journalArticle,2017,"Adams, Dara B; Rehg, Jennifer A; Watsa, Mrinalini","Observations of termitarium geophagy by Rylands’ bald-faced saki monkeys (Pithecia rylandsi) in Madre de Dios, Peru",Primates,449-459,58,Adams,Dara B
journalArticle,2017,"Adams, Dara B; Williams, Sean M",Fatal attack on a Rylands' bald-faced saki monkey (Pithecia rylandsi) by a black-and-white hawk-eagle (Spizaetus melanoleucus),Primates,361-365,58,Adams,Dara B
journalArticle,2001,"Adams, Eldridge S",Approaches to the study of territory size and shape,Annual Review of Ecology and Systematics,277-303,32,Adams,Eldridge S
journalArticle,2021,"Adams, Frances V; Arseneau‐Robar, T Jean M; Bonnell, Tyler R; Stead, Samantha M; Teichroeb, Julie A",Temporal patterns in the social network of core units in Rwenzori Angolan colobus monkeys: Effects of food availability and interunit dispersal,Ecology and Evolution,ece3.7274,,Adams,Frances V
journalArticle,2001,"Adams, J; Blair, P; Kaneko, O; Peterson, D",An expanding ebl family of Plasmodium falciparum,Trends in Parasitology,297-299,17,Adams,J
journalArticle,2007,"Adams, J; Waits, L",An efficient method for screening faecal DNA genotypes and detecting new individuals and hybrids in the red wolf (<i>Canis rufus</i>) experimental population area,Conservation Genetics,123-131,8,Adams,J
journalArticle,2014,"Adams, Mark James",Feasibility and uncertainty in behavior genetics for the nonhuman primate,International Journal of Primatology,156-168,35,Adams,Mark James
journalArticle,2015,"Adams, Mark James; Majolo, Bonaventura; Ostner, Julia; Schülke, Oliver; De Marco, Arianna; Thierry, Bernard; Engelhardt, Antje; Widdig, Anja; Gerald, Melissa S; Weiss, Alexander",Personality structure and social style in macaques.,Journal of Personality and Social Psychology,338-353,109,Adams,Mark James
journalArticle,2015,"Adams, Rachael V; Burg, Theresa M",Gene flow of a forest-dependent bird across a fragmented landscape,PLOS ONE,e0140938,10,Adams,Rachael V
journalArticle,2022,"Adapen, Cindy; Réot, Louis; Menu, Elisabeth",Role of the human vaginal microbiota in the regulation of inflammation and sexually transmitted infection acquisition: Contribution of the non-human primate model to a better understanding?,Frontiers in Reproductive Health,992176,4,Adapen,Cindy
journalArticle,2013,"Adedokun, Omolola A; Bessenbacher, Ann B; Parker, Loran C; Kirkham, Lisa L; Burgess, Wilella D",Research skills and STEM undergraduate research students' aspirations for research careers: Mediating effects of research self-efficacy,Journal of Research in Science Teaching,n/a-n/a,,Adedokun,Omolola A
journalArticle,2012,"Aderhold, Andrej; Husmeier, Dirk; Lennon, Jack J; Beale, Colin M; Smith, V Anne",Hierarchical Bayesian models in ecology: Reconstructing species interaction networks from non-homogeneous species abundance data,Ecological Informatics,55-64,11,Aderhold,Andrej
journalArticle,2016,"Adhikari, Kaustubh; Mendoza-Revilla, Javier; Chacón-Duque, Juan Camilo; Fuentes-Guajardo, Macarena; Ruiz-Linares, Andrés",Admixture in Latin America,Current Opinion in Genetics & Development,106-114,41,Adhikari,Kaustubh
journalArticle,2018,"Adhikari, Samrachana; Dabbs, Beau",Social network analysis in R: A software review,Journal of Educational and Behavioral Statistics,225-253,43,Adhikari,Samrachana
journalArticle,2020,"Aditya, Trias; Sugianto, Aeny; Sanjaya, Aditya; Susilo, Adi; Zawani, Hoferdy; Widyawati, Yuli Safitri; Amin, Suryani",Channelling participation into useful representation: combining digital survey app and collaborative mapping for national slum-upgrading programme,Applied Geomatics,133-148,12,Aditya,Trias
journalArticle,1998,"Adjers, G; Hadengganan, S; Kuusipalo, J; Otsamo, A; Vesa, L",Production of planting stock from wildings of four Shorea species,New Forests,185-197,16,Adjers,G
journalArticle,2005,"Adl, Sina; Simpson, Alastair; Farmer, Mark; Andersen, Robert; Anderson, O; Barta, John; Bowser, Samuel; Brugerolle, Guy; Fensome, Robert; Fredericq, Suzanne; James, Timothy; Karpov, Sergei; Kugrens, Paul; Krug, John; Lane, Christopher; Lewis, Louise; Lodge, Jean; Lynn, Denis; Mann, David; McCourt, Richard; Mendoza, Leonel; Moestrup, Øjvind; Mozley-Standridge, Sharon; Nerad, Thomas; Shearer, Carol; Smirnov, Alexey; Spiegel, Frederick; Taylor, Max",The new higher level classification of eukaryotes with emphasis on the taxonomy of protists,Journal of Eukaryotic Microbiology,399-451,52,Adl,Sina
journalArticle,1994,"Adler, G H",Tropical forest fragmentation and isolation promote asynchrony among populations of a frugivorous rodent,Journal of Animal Ecology,903-911,,Adler,G H
journalArticle,2011,"Adler, Peter B; Seabloom, Eric W; Borer, Elizabeth T; Hillebrand, Helmut; Hautier, Yann; Hector, Andy; Harpole, W Stanley; O'Halloran, Lydia R; Grace, James B; Anderson, T Michael; Bakker, Jonathan D; Biederman, Lori A; Brown, Cynthia S; Buckley, Yvonne M; Calabrese, Laura B; Chu, Cheng-Jin; Cleland, Elsa E; Collins, Scott L; Cottingham, Kathryn L; Crawley, Michael J; Damschen, Ellen I; Davies, Kendi F; DeCrappeo, Nicole M; Fay, Philip A; Firn, Jennifer; Frater, Paul; Gasarch, Eve I; Gruner, Daniel S; Hagenah, Nicole; Hille Ris Lambers, Janneke; Humphries, Hope; Jin, Virginia L; Kay, Adam D; Kirkman, Kevin P; Klein, Julia A; Knops, Johannes M H; La Pierre, Kimberly J; Lambrinos, John G; Li, Wei; MacDougall, Andrew S; McCulley, Rebecca L; Melbourne, Brett A; Mitchell, Charles E; Moore, Joslin L; Morgan, John W; Mortensen, Brent; Orrock, John L; Prober, Suzanne M; Pyke, David A; Risch, Anita C; Schuetz, Martin; Smith, Melinda D; Stevens, Carly J; Sullivan, Lauren L; Wang, Gang; Wragg, Peter D; Wright, Justin P; Yang, Louie H",Productivity is a poor predictor of plant species richness,Science,1750-1753,333,Adler,Peter B
journalArticle,2001,"Adolphs, R",The neurobiology of social cognition,Current Opinion in Neurobiology,231-239,11,Adolphs,R
journalArticle,2003,"Adolphs, R",Cognitive neuroscience of human social behaviour,Nature Reviews Neuroscience,165-178,4,Adolphs,R
journalArticle,1999,"Adolphs, R",Social cognition and the human brain,Trends in Cognitive Sciences,469-479,3,Adolphs,R
journalArticle,2018,"Adret, Patrice; Dingess, Kimberly; Caselli, Christini; Vermeer, Jan; Martínez, Jesus; Luna Amancio, Jossy; van Kuijk, Silvy; Hernani Lineros, Lucero; Wallace, Robert; Fernandez-Duque, Eduardo; Di Fiore, Anthony","Duetting patterns of titi monkeys (Primates, Pitheciidae: Callicebinae) and relationships with phylogeny",Animals,article 178,8,Adret,Patrice
journalArticle,2003,"Adriaensen, F; Chardon, J P; De Blust, G; Swinnen, E; Villalba, S; Gulinck, H; Matthysen, E",The application of ‘least-cost’ modelling as a functional landscape model,Landscape and Urban Planning,233-247,64,Adriaensen,F
journalArticle,2017,Adrijana Vukelic; Jacob A Cohen; Alexis P Sullivan; George H Perry,Extending genome-wide association study results to test classic anthropological hypotheses: Human third molar agenesis and the “probable mutation effect”,Human Biology,157,89,,
journalArticle,2014,"Afshar, Mohammad; Giraldeau, Luc-Alain",A unified modelling approach for producer–scrounger games in complex ecological conditions,Animal Behaviour,167-176,96,Afshar,Mohammad
journalArticle,2000,"Agarwal, A; Guindo, A; Cissoko, Y; Taylor, J; Coulibaly, D; Kone, A; Kayentao, K; Djimde, A; Plowe, C; Doumbo, O; Wellems, T; Diallo, D","Hemoglobin C associated with protection from severe malaria in the Dogon of Mali, a West African population with a low prevalence of hemoglobin S",Blood,2358-2363,96,Agarwal,A
journalArticle,2023,"Agashe, Deepa; Sane, Mrudula; Singhal, Shivansh",Revisiting the role of genetic variation in adaptation,The American Naturalist,486-502,202,Agashe,Deepa
journalArticle,2007,"Agetsuma, Naoki",Minimum area required for local populations of Japanese macaques estimated from the relationship between habitat area and population extinction,International Journal of Primatology,97-106,28,Agetsuma,Naoki
journalArticle,2012,"Aghekyan, Marine; Ulrich, Pamela; Connell, Lenda",Using body scans in assessing perceptions of body attractiveness and size: Cross-cultural study,"International Journal of Fashion Design, Technology and Education",81-89,5,Aghekyan,Marine
journalArticle,2004,"Agoramoorthy, G; Alagappasamy, C; Hsu, MJ",Can proboscis monkeys be successfully maintained in captivity? A case of swings and roundabouts,Zoo Biology,533-544,23,Agoramoorthy,G
journalArticle,2000,"Agoramoorthy, G; Hsu, M J",Extragroup copulation among wild red howler monkeys in Venezuela.,Folia Primatologica,147-151,71,Agoramoorthy,G
journalArticle,1999,"Agoramoorthy, G; Lohmann, R","Population and conservation status of the black-and-gold howler monkeys, Alouatta caraya, along the Rio Riachuelo, Argentina",Neotropical Primates,43-44,7,Agoramoorthy,G
journalArticle,1993,"Agoramoorthy, G; Rudran, R",Male dispersal among free-ranging howler monkeys (Alouatta seniculus) in Venezuela,Folia Primatologica,92-96,61,Agoramoorthy,G
journalArticle,1995,"Agoramoorthy, G; Rudran, R","Infanticide by adult and subadult males in free-ranging red howler monkeys, Alouatta seniculus, in Venezuela",Ethology,75-88,99,Agoramoorthy,G
journalArticle,1994,"Agoramoorthy, G; Rudran, R",Field application of Telazol (tiletamine hydrochloride and zolazepam hydrochloride) to immobilize wild red howler monkeys (Aloutta seniculus) in Venezuela,Journal of Wildlife Diseases,417-420,30,Agoramoorthy,G
journalArticle,2010,"Agostini, Ilaria; Holzmann, Ingrid; Di Bitetti, Mario S",Are howler monkey species ecologically equivalent? Trophic niche overlap in syntopic Alouatta guariba clamitans and Alouatta caraya,American Journal of Primatology,173-186,72,Agostini,Ilaria
journalArticle,2010,"Agostini, Ilaria; Holzmann, Ingrid; Di Bitetti, Mario S",Ranging patterns of two syntopic howler monkey species (Alouatta guariba and A. caraya) in northeastern Argentina,International Journal of Primatology,363-381,31,Agostini,Ilaria
journalArticle,2023,"Agostini, Ilaria; Vanderhoeven, Ezequiel; Pfoh, Romina; Tiddi, Barbara; Beldomenico, Pablo M",Experimental evidence of parasite-induced behavioural alterations modulated by food availability in wild capuchin monkeys,Scientific Reports,3083,13,Agostini,Ilaria
journalArticle,2005,"Agostini, Ilaria; Visalberghi, Elisabetta",Social influences on the acquisition of sex-typical foraging patterns by juveniles in a group of wild tufted capuchin monkeys (Cebus nigritus),American Journal of Primatology,335-351,65,Agostini,Ilaria
journalArticle,2020,"Agostino, Patricia V; Lusk, Nicholas A; Meck, Warren H; Golombek, Diego A; Peryer, Guy",Daily and seasonal fluctuation in tawny owl vocalization timing,PLOS ONE,e0231591,15,Agostino,Patricia V
journalArticle,2001,"Agrawal, A",Kin recognition and the evolution of altruism,Proceedings of the Royal Society Series B: Biological Sciences,1099-1104,268,Agrawal,A
journalArticle,2001,"Agrawal, Aneil",The evolutionary consequences of mate copying on male traits,Behavioural Ecology and Sociobiology,33-40,51,Agrawal,Aneil
journalArticle,2006,"Agrawal, Aneil",Similarity selection and the evolution of sex: revisiting the red queen,PLoS Biology,e265,4,Agrawal,Aneil
journalArticle,2006,"Agrawal, Aneil F",Evolution of sex: Why do organisms shuffle their genotypes?,Current Biology,R696-R704,16,Agrawal,Aneil F
journalArticle,2002,"Agrawal, Aneil; Lively, Curtis M",Infection genetics: Gene-for-gene versus matching-alleles models and all points in between,Evolutionary Ecology Research,91-107,4,Agrawal,Aneil
journalArticle,2013,"Agrawal, Arun; Brown, Daniel G; Rao, Gautam; Riolo, Rick; Robinson, Derek T; Bommarito, Michael II",Interactions between organizations and networks in common-pool resource governance,Environmental Science & Policy,138-146,25,Agrawal,Arun
journalArticle,1974,"Agrawal, VC","Taxonomic status of Barbe's leaf-monkey, <i>Presbytis barbei</i> Blyth.",Primates,235-239,15,Agrawal,VC
journalArticle,1998,"Agrell, Jep; Wolff, Jerry; Ylönen, Hannu",Counter-strategies to infanticide in mammals: Costs and consequences,Oikos,507-517,83,Agrell,Jep
journalArticle,2014,"Aguiar-Silva, F Helena; Sanaiotti, Tânia M; Luz, Benjamim B","Food habits of the harpy eagle, a top predator from the Amazonian rainforest canopy",Journal of Raptor Research,24-35,48,Aguiar-Silva,F Helena
